state,May_15,June_15,July_15,August_15,September_15,October_15,November_15,December_15,January_16,February_16,state_total
AL,0,0,2500,0,0,0,259,0,0,0,2759
AK,0,0,0,0,0,0,0,0,0,0,0
AZ,0,5900,2950,0,0,40,25,10,0,0,8925
AR,0,2700,0,0,0,1250,0,0,0,0,3950
CA,500,5000,4200,1250,6150,370.16,5761.1,0,0,0,23231.26
CO,0,5650,350,1000,0,0,0,0,0,0,7000
CT,0,2700,0,0,0,0,0,0,0,0,2700
DE,0,0,0,0,0,0,0,0,0,0,0
DC,0,0,0,0,0,0,0,0,0,0,0
FL,0,11950,0,0,6100,2700,11300,0,0,0,32050
GA,0,1750,500,0,300,800,250,0,0,0,3600
HI,0,0,0,0,0,0,0,0,0,0,0
ID,0,250,300,250,150,0,100,0,0,0,1050
IL,0,0,0,0,0,100,5400,0,0,0,5500
IN,0,500,0,0,250,2700,0,0,0,0,3450
IA,0,0,250,500,3670.16,900,1100,0,0,0,6420.16
KS,0,250,0,0,0,0,0,0,0,0,250
KY,0,0,0,0,0,0,0,0,0,0,0
LA,35850,378600,73000,168699,164240.32,69150,45400,0,0,0,934939.32
ME,0,0,0,0,0,0,0,0,0,0,0
MD,0,3150,750,2700,0,350,2700,0,0,0,9650
MA,0,250,0,0,0,0,0,0,0,0,250
MI,0,250,0,0,250,0,10800,0,0,0,11300
MN,0,0,0,0,0,0,0,0,0,0,0
MS,0,5400,0,8100,0,0,0,0,0,0,13500
MO,250,5650,5400,250,260,250,0,0,0,0,12060
MT,0,0,0,0,0,0,0,0,0,0,0
NE,0,0,300,0,0,0,0,0,0,0,300
NV,0,0,250,0,0,0,0,0,0,0,250
NH,0,1000,0,0,250,0,0,0,0,0,1250
NJ,0,0,250,0,100,3200,2700,0,0,0,6250
NM,0,0,500,0,0,0,0,0,0,0,500
NY,0,5650,5400,0,770.16,45.16,20311.1,0,0,0,32176.42
NC,0,1800,350,100,5510,10800,-2675,0,0,0,15885
ND,0,0,0,0,0,0,0,0,0,0,0
OH,0,250,2500,0,250,370.16,50,0,0,0,3420.16
OK,0,500,500,0,100,5938,105,0,0,0,7143
OR,0,0,100,125,45.16,0,0,0,0,0,270.16
PA,2700,1500,0,0,420.16,150,2825,0,0,0,7595.16
RI,0,0,0,0,0,0,0,0,0,0,0
SC,0,1000,750,0,230.16,35,46.1,0,0,0,2061.26
SD,0,500,0,0,0,0,0,0,0,0,500
TN,0,750,100,100,100,0,0,0,0,0,1050
TX,500,21250,1950,7450,4282,8528,1200,0,0,0,45160
UT,0,0,0,0,0,250,0,0,0,0,250
VT,0,0,0,0,0,0,0,0,0,0,0
VA,250,9866,1100,1200,200,7100,0,0,0,0,19716
WA,0,250,3300,1250,50,370.16,1011.1,0,0,0,6231.26
WV,0,0,0,0,0,0,0,0,0,0,0
WI,0,0,5400,0,0,11800,14800,0,0,0,32000
WY,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,
,,,,,,,,,,,
