state,March_15,April_15,May_15,June_15,July_15,August_15,September_15,October_15,November_15,December_15,January_16,February_16,March_16,state_total,Lon,Lat
AL,0.00,32694.50,23942.74,14086.71,15386.66,15865.59,23767.06,135590.94,49698.33,23318.81,23789.85,114166.94,73666.59,545974.72,-86.827719,32.773329
AK,0.00,7900.00,5450.00,3278.00,2805.11,8087.47,2673.12,6216.66,2396.46,4639.85,5955.43,20988.91,21273.53,91664.54,-151.3,64.9
AZ,0.00,76216.25,54425.99,44749.06,23419.28,23451.24,37664.01,62281.59,173838.25,115214.02,94253.85,142748.54,268499.15,1116761.23,-111.658929,34.294776
AR,0.00,65481.64,47795.64,54151.45,30612.78,67335.46,258250.99,37214.62,72521.65,30648.71,40285.37,104191.84,166269.31,974759.46,-92.44427,34.921992
CA,0.00,3615681.89,2050866.44,2326229.99,1754236.38,1174548.37,2493044.92,2629780.17,1210376.89,2370352.31,2277648.40,4223749.25,4219908.55,30346423.56,-121,37.255299
CO,0.00,165153.00,187865.71,111618.08,500073.91,267004.29,62731.02,75904.15,545196.11,111418.35,165780.12,368616.81,444743.16,3006104.71,-105.546087,38.999137
CT,0.00,209840.48,285045.36,327722.54,59854.22,77229.11,154894.02,252260.36,74564.32,136114.82,227752.98,393436.37,573615.77,2772330.35,-72.737122,41.606924
DE,0.00,4635.00,3935.05,11720.68,8097.89,8590.50,8803.25,9807.00,3337.55,9263.63,31358.96,42461.20,31008.00,173018.71,-75.499779,38.993921
DC,0.00,1079564.56,505126.34,738073.94,257609.98,272931.64,342206.20,264665.75,482162.35,398877.64,339852.36,601577.26,562976.00,5845624.02,-77.018293,38.896097
FL,0.00,633491.24,1616997.65,710833.72,196342.49,209884.14,666130.93,333897.30,1011716.92,464787.95,507944.64,1147762.81,747436.47,8247226.26,-81.5,28.615732
GA,0.00,176341.16,299517.42,132426.16,49850.74,39780.93,160838.38,141435.45,38212.67,74688.98,209258.50,373472.44,527362.15,2223184.98,-83.2,32.652474
HI,0.00,6345.00,11969.73,12191.34,3590.84,7548.24,11638.70,8126.38,13127.55,11709.38,17251.63,61179.05,53132.74,217810.58,-155.4,19.6
ID,0.00,1050.00,6695.02,9280.00,12230.00,9653.00,7517.84,3915.25,3324.69,8563.10,6186.02,22073.79,28134.76,118623.47,-114,44
