state,January_15,February_15,March_15,April_15,May_15,June_15,July_15,August_15,September_15,October_15,November_15,December_15,January_16,February_16,March_16,state_total
AL,0,0,0,500,0,0,100,0,50,0,0,0,0,0,0,650
AK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AZ,0,0,0,500,0,0,250,500,200,0,0,0,0,0,0,1450
AR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA,1000,600,4300,16893,3625.16,200,14400,8550,7300,4300,3100,500,0,0,0,64768.16
CO,0,0,2700,750,5,0,3300,0,200,750,0,0,0,0,0,7705
CT,0,0,0,1250,2700,0,550,0,300,1259,0,0,0,0,0,6059
DE,0,0,500,0,0,0,0,0,0,550,0,0,0,0,0,1050
DC,0,0,0,320,270,20,2220,250,3050,1000,0,0,0,0,0,7130
FL,500,1000,500,1000,25,0,5250,1500,1550,450,500,0,0,0,0,12275
GA,0,0,0,50,50,150,1800,50,50,550,0,0,0,0,0,2700
HI,0,0,0,0,0,0,0,0,4019,150,0,0,0,0,0,4169
ID,0,0,0,0,500,0,500,0,0,0,0,0,0,0,0,1000
IL,0,0,0,2700,500,0,500,2700,1250,0,0,0,0,0,0,7650
IN,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,50
IA,0,0,0,0,0,0,2000,0,1100,0,0,0,0,0,0,3100
KS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KY,0,0,0,1200,50,0,0,0,0,0,0,0,0,0,0,1250
LA,0,0,0,0,0,0,0,100,0,100,0,0,0,0,0,200
ME,0,0,500,1100,0,0,500,0,100,0,0,0,0,0,0,2200
MD,1350,1100,100,1200,100,100,4200,100,2150,150,0,0,0,0,0,10550
MA,0,0,0,3200,0,2700,2400.09,0,450,500,0,0,0,0,0,9250.09
MI,0,200,0,250,0,0,100,0,1250,0,0,0,0,0,0,1800
MN,0,0,0,0,0,0,0,0,750,0,0,0,0,0,0,750
MS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MO,5200,0,0,0,0,0,0,100,500,50,0,0,0,0,0,5850
MT,0,0,0,0,0,0,0,0,0,0,0,500,0,0,0,500
NE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NV,500,0,500,1000,0,250,0,0,1250,0,0,0,0,0,0,3500
NH,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,1000
NJ,0,2600,0,250,0,0,1500,0,50,0,0,0,0,0,0,4400
NM,0,0,0,0,500,0,500,500,0,0,0,0,0,0,0,1500
NY,0,2600,1500,2050,1800,50,11250,50,2175,4575,0,0,0,0,0,26050
NC,0,500,0,500,2400,0,3000,500,1950,2200,0,0,0,0,0,11050
ND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OH,0,500,0,1000,0,200,600,0,200,100,0,0,0,0,0,2600
OK,0,0,0,100,0,0,500,0,0,0,0,0,0,0,0,600
OR,0,0,1000,2500,0,1000,3625,1350,1300,2950,0,0,0,0,0,13725
PA,0,0,2600,250,0,0,200,0,850,250,0,0,0,0,0,4150
RI,0,0,0,0,0,0,250,500,100,100,0,0,0,0,0,950
SC,0,0,0,0,0,0,1100,0,800,0,100,0,0,0,0,2000
SD,0,0,100,100,0,0,50,0,50,0,0,0,0,0,0,300
TN,0,0,0,1000,0,0,2000,0,100,0,0,0,0,0,0,3100
TX,3325,3600,2000,1050,550,50,5450,1250,7800,1225,345.16,400,0,0,0,27045.16
UT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VT,0,0,0,0,250,0,0,0,0,0,0,0,0,0,0,250
VA,200,5750,8725,15025,5225,1250,13005,1050,15125,6050,0,1000,0,0,0,72405
WA,0,500,1300,1200,0,0,6400,0,2950,400,0,100,0,0,0,12850
WV,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,1000
WI,0,0,0,0,0,0,300,0,750,0,0,0,0,0,0,1050
WY,500,0,2700,0,0,0,0,0,350,0,0,0,0,0,0,3550
,,,,,,,,,,,,,,,,
