state,May_15,June_15,July_15,August_15,September_15,October_15,November_15,December_15,January_16,February_16,March_16,state_total
AL,0,0,1500,10350,350,4425,9600,666,1930,9254,0,38075
AK,0,0,250,500,500,0,250,630,1050,2544,0,5724
AZ,0,0,4076,5050,15925,450,5175,1150,6970,23627,0,62423
AR,0,0,250,0,250,0,3750,5725,2725,1631,0,14331
CA,0,0,17611,97986,257788.37,28000,94725,25085,187630,235469.8,0,944295.17
CO,0,0,750,5700,9925,6561,9420,5708.5,9150,38662,0,85876.5
CT,0,0,1000,22300,5016,15450,21500,19857,10407,49092,0,144622
DE,0,0,0,0,1000,3700,2700,0,750,3150,0,11300
DC,0,0,4200,1250,16023,11770,550,3350,7341,31587,0,76071
FL,0,0,14400,90846,35252,26050,93350,51736,67175.37,129367,0,508176.37
GA,0,0,5206,10067,8210,3260,11610,5177,6675,61782,0,111987
HI,0,0,0,0,0,0,500,0,0,5050,0,5550
ID,0,0,5400,1500,1150,0,0,0,1200,6391,0,15641
IL,0,0,11850,16350,110200,18350,55635,6785,55526,87779,0,362475
IN,0,0,500,5750,1850,5400,3200,23475,4175,10906,0,55256
IA,0,0,2700,10916,3200,375,5070,8150,1275,7600,0,39286
KS,0,0,0,2000,3100,326,2050,2750,1400,12927,0,24553
KY,0,0,8100,24150,16500,0,1100,12610,575,10775,0,73810
LA,0,0,3200,500,2100,150,1891,375,3875,37600,0,49691
ME,0,0,0,0,4050,31,200,350,250,5650,0,10531
MD,0,0,2950,13967,11881,11800,1960,4500,7285,57132,0,111475
MA,0,0,12050,26316,10910,15965,63695,17340,28590,83072,0,257938
MI,0,0,15750,2600,51072,27950,114500,14620,9445,61730,0,297667
MN,0,0,2000,6500,2470,5800,850,5000,5770,24660,0,53050
MS,0,0,2700,2700,1431,900,27930,12812,6260,22084,0,76817
MO,0,0,5900,6956,11350,75,1000,1900,11150,12562,0,50893
MT,0,0,0,2750,1000,100,300,1950,750,7550,0,14400
NE,0,0,0,500,100,0,250,150,50,3850,0,4900
NV,0,0,1750,2000,6,550,1275,250,11325,8800,0,25956
NH,0,0,2700,9900,4476,6175,20370,8651,15400,24006,0,91678
NJ,0,0,750,5616,9184,6550,3625,6490,17541,33779,0,83535
NM,0,0,500,2700,1000,250,450,1050,200,16477,0,22627
NY,0,0,2621,45732,83972,69389,58031,29181,38494,209870,0,537290
NC,0,0,2500,14100,10050,2250,2560,483,10025,35668,0,77636
ND,0,0,250,1000,526,0,260,250,500,2900,0,5686
OH,0,0,411261,837830.5,904873,182756,453827.35,669368.8,141698,350469,0,3952083.65
OK,0,0,1300,4700,6000,350,1000,150,350,12951,0,26801
OR,0,0,1750,1000,3200,325,150,75,725,21750,0,28975
PA,0,0,7650,14528.25,34550,53611,5925,7260,117225,106889.6,0,347638.85
RI,0,0,250,250,3000,0,5400,0,2700,4800,0,16400
SC,0,0,3575,3301,2050,6150,8350,2250,3950,28826,0,58452
SD,0,0,0,0,2000,250,650,100,250,3375,0,6625
TN,0,0,2000,2700,12500,4050,9456,61125,4300,40651,0,136782
TX,0,0,9981,27758,43966,82556,20142,10185,11000,128024,0,333612
UT,0,0,500,2500,2700,3000,100,10600,6800,13141,0,39341
VT,0,0,0,0,0,0,0,0,50,4650,0,4700
VA,0,0,33452,20614,41390,44682,15485,14062,18847,83742,0,272274
WA,0,0,3200,8600,4750,4010,2685,3486,3791,24051,0,54573
WV,0,0,5075,250,1200,1000,2700,4200,1300,5696,0,21421
WI,0,0,5400,1700,400,150,2250,250,4450,14741,0,29341
WY,0,0,3700,2000,850,300,100,50,1250,8950,0,17200
