state,January_15,February_15,March_15,April_15,May_15,June_15,July_15,August_15,September_15,October_15,November_15,December_15,January_16,February_16,March_16,state_total
AL,0,0,0,0,0,0,0,0,5500,206,200,1300,3702,0,0,10908
AK,0,0,0,0,0,0,250,0,0,0,0,0,0,0,0,250
AZ,0,0,0,0,0,5400,0,0,5400,2000,1025,9405.53,54.02,0,0,23284.55
AR,0,0,0,0,0,0,0,100,100,100,100,100,100,100,0,700
CA,0,0,0,0,1250,8500,300,6053.8,8950,450,7625.67,2270.16,705.25,125,0,36229.88
CO,0,0,0,0,2700,3450,250,1000,8400,0,25,145,2700,0,0,18670
CT,0,0,0,0,2000,0,500,520.16,955.63,560,560,260,20.16,100,0,5475.95
DE,0,0,0,0,0,0,0,0,0,0,0,0,500,0,0,500
DC,0,0,0,0,0,0,0,1000,1000,0,0,0,250,0,0,2250
FL,0,0,0,0,1500,30675,0,6200,12783.61,333.94,3075,2281.98,4514.42,0,0,61363.95
GA,0,0,0,0,0,5400,0,0,40,25,100,2732.79,150,10,0,8457.79
HI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ID,0,0,0,0,0,0,0,0,0,160.99,145.99,125,620.16,0,0,1052.14
IL,0,0,0,0,200,690,3200,750,4450,50,1531.98,50.32,100.16,300,0,11322.46
IN,0,0,0,0,2600,1000,0,1000,1160,50,75,1650,425,0,0,7960
IA,0,0,0,0,250,1375,0,150,8899.99,1452.95,2280.99,1960.48,2670,100,0,19139.41
KS,0,0,0,0,35,2150,0,5,68.33,110,186.99,420.16,510.16,175,0,3660.64
KY,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,1000
LA,0,0,0,0,2950,10400,0,5500,26400,100,0,2700,1000,0,0,49050
ME,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MD,0,0,0,0,250,6700,0,0,4000,0,250,1100,200,0,0,12500
MA,0,0,0,0,0,1040,0,0,5400,830,210.1,130,10,0,0,7620.1
MI,0,0,0,0,0,300,100,50,630,380,121.98,615,170,50,0,2416.98
MN,0,0,0,0,8250,1000,4000,37.5,3750,3091,566,3466,326,66,0,24552.5
MS,0,0,0,0,500,0,500,0,0,0,35,0,0,0,0,1035
MO,0,0,0,0,0,3850,250,603,440,118.5,593.49,80.65,895.16,50,0,6880.8
MT,0,0,0,0,0,500,300,0,0,0,0,200,0,0,0,1000
NE,0,0,0,0,0,5300,400,0,0,1100,0,0,0,200,0,7000
NV,0,0,0,0,0,3650,0,0,5400,0,0,2700,0,0,0,11750
NH,0,0,0,0,250,0,0,250,0,200,200,325,300,0,0,1525
NJ,0,0,0,0,0,17150,350,125,235,185,45.16,3661.98,960,0,0,22712.14
NM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NY,0,0,0,0,0,7490,1400,2900,6225,940,635,3575,3790.1,25,0,26980.1
NC,0,0,0,0,0,1818,0,0,0,25,1050,550,652,50,0,4145
ND,0,0,0,0,0,0,0,0,0,0,0,0,0,333.33,0,333.33
OH,0,0,0,0,300,1458,6110,155,2575.46,302.69,1800,432.14,725.32,95.99,0,13954.6
OK,0,0,0,0,0,250,0,200,0,50,0,0,25,25,0,550
OR,0,0,0,0,0,0,0,0,150,0,0,150,100,0,0,400
PA,0,0,0,5400,26676.42,49780,17990,15513.63,16185,2405,19325,10570,33036.39,3288.93,0,200170.37
RI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC,0,0,0,0,0,20300,2700,113.45,14900,155.99,2200,1750,2200,100,0,44419.44
SD,0,0,0,0,0,300,0,0,0,0,0,1000,0,0,0,1300
TN,0,0,0,0,250,14150,1700,175,5800,550,100,4180,-1136.54,0,0,25768.46
TX,0,0,0,250,22450,148280,18490,2107.6,35850,4335,9083.31,22766.14,10306.15,9270,0,283188.2
UT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VA,0,0,0,0,9370,27035.16,3500,520,11169.99,1826.96,250,3550.99,2966.31,655.99,0,60845.4
WA,0,0,0,0,0,0,0,85,2135,-1640,60,560,60,60,0,1320
WV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WI,0,0,0,0,0,0,300,46.3,25,275,0,45,225,0,0,916.3
WY,0,0,0,0,0,5400,0,1000,0,0,0,5400,5400,87.5,0,17287.5
