state,January_15,February_15,March_15,April_15,May_15,June_15,July_15,August_15,September_15,October_15,November_15,December_15,January_16,February_16,March_16,state_total
AL,0,0,0,0,0,3450,10915,36741,3025,0,200,350,0,25,0,54706
AK,0,0,0,0,0,250,1250,635,50,0,0,0,300,0,0,2485
AZ,0,0,0,0,0,1300,30245,23188,7125,0,-4910,-3670,-5350,450,0,48378
AR,0,0,0,0,0,500,5351,17950,10953,0,-5370,-2600,0,0,0,26784
CA,0,0,0,0,0,89825,308572.4,98917.5,29923,600,-41324,398,2250,275,0,489436.9
CO,0,0,0,0,0,7900,28325,9732,625,25,1878,1250,40,330,0,50105
CT,0,0,0,0,0,12300,75101,8900,9120,0,-9850,200,100,5900,0,101771
DE,0,0,0,0,0,0,750,650,5400,0,0,0,0,0,0,6800
DC,0,0,0,0,0,14000,15525,4620,2273.76,-500,-2700,-1000,50,0,0,32268.76
FL,0,0,0,0,0,21550,123061,66074,15043,100,-10862.57,59050,11800,150,0,285965.43
GA,0,0,0,0,0,2000,98145,13781,4538,0,-5950,-1500,250,0,0,111264
HI,0,0,0,0,0,1600,5200,3350,450,0,500,200,0,50,0,11350
ID,0,0,0,0,0,250,8370,3950,1910,0,0,599,0,0,0,15079
IL,0,0,0,0,0,50900,158090,102303,52590,805,-16475,-22385,3200,420,0,329448
IN,0,0,0,0,0,3200,17969.19,11382.02,6269.43,992.57,100,-65,460,0,0,40308.21
IA,0,0,0,0,0,6500,12325,7400,2195,500,-2200,-300,2250,2150,0,30820
KS,0,0,0,0,0,500,5750,1500,100,100,0,350,0,0,0,8300
KY,0,0,0,0,0,500,4700,2556,150,110,150,0,0,0,0,8166
LA,0,0,0,0,0,250,12000,11900,100,0,-2200,0,0,0,0,22050
ME,0,0,0,0,0,2250,4950,0,100,100,1000,0,0,0,0,8400
MD,0,0,0,0,0,8850,12826,6258,1500,2700,305,3435,750,7510,0,44134
MA,0,0,0,0,0,1750,38000,8220,5600,300,500,-2700,0,0,0,51670
MI,0,0,0,0,0,2950,16825,8072,38485,173,-9550,1080,24300,0,0,82335
MN,0,0,0,0,0,7250,18435,69878,2315,863,-10225,-800,0,100,0,87816
MS,0,0,0,0,0,0,1500,350,300,0,1000,0,0,0,0,3150
MO,0,0,0,0,0,3350,74075,29865,0,-2700,-24050,1035,0,100,0,81675
MT,0,0,0,0,0,0,3500,650,1125,0,0,275,0,100,0,5650
NE,0,0,0,0,0,10350,9000,3000,250,0,-2050,0,250,0,0,20800
NV,0,0,0,0,0,0,39300,3600,6300,0,-5400,-2700,100,50,0,41250
NH,0,0,0,0,0,8500,8575,18150,675,0,150,2900,0,0,0,38950
NJ,0,0,0,0,0,3950,38490,7025,34755,0,-22743,203,100,0,0,61780
NM,0,0,0,0,0,500,3075,2200,1105,75,110,1090,0,70,0,8225
NY,0,0,0,0,0,44000,129375,30985,30475,1000,-26135,-3594,850,-2550,0,204406
NC,0,0,0,0,0,22100,37659,31783,9243,203,-3240,-4175,152,0,0,93725
ND,0,0,0,0,0,0,7200,1100,55,0,1600,1000,-800,0,0,10155
OH,0,0,0,0,0,2500,13165,17100,2880,2700,175,503,3000,0,0,42023
OK,0,0,0,0,0,5550,19000,9953,6250,0,-3000,1200,0,0,0,38953
OR,0,0,0,0,0,1500,10025,1665,960,0,900,0,0,0,0,15050
PA,0,0,0,0,0,3960,66445,31308,3945,1000,-1605,-9300,210,250,0,96213
RI,0,0,0,0,0,0,1400,700,200,0,0,100,0,0,0,2400
SC,0,0,0,0,0,1250,12680,5537,2125,0,40,695,0,70,0,22397
SD,0,0,0,0,0,0,4300,3453,0,0,150,225,0,0,0,8128
TN,0,0,0,0,0,6150,50525,8668,1488,0,550,650,0,2550,0,70581
TX,0,0,0,0,0,64750,206259,58190,55978,465,-10415,1015,2863,6390,0,385495
UT,0,0,0,0,0,0,3270,4200,800,0,250,0,0,50,0,8570
VT,0,0,0,0,0,0,550,363,375,0,150,0,0,0,0,1438
VA,0,0,0,0,0,37120,52547,33751,16609,700,-5045,580,2850,12129,0,151241
WA,0,0,0,0,0,1350,37950,17233,2710,400,-4400,2050,25,0,0,57318
WV,0,0,0,0,0,0,4600,500,250,0,0,50,0,0,0,5400
WI,0,0,0,0,0,116335,558173,369130.25,101301.75,24364,42305,29240,15025,34775,0,1290649
WY,0,0,0,0,0,750,9350,6400,400,0,300,400,1225,250,0,19075
