state,BobbyJindal,CarlyFiorina,ChrisChristie,GeorgePataki,JamesWebb,JebBush,LawrenceLessig,LindseyGraham,MartinOMalley,MikeHuckabee,RandPaul,RickPerry,RickSantorum,ScottWalker,state_population
AL,2759,31294,3645,0,650,254949,38075,,,,,,,,
AK,0,13208.5,300,0,0,7539,5724,,,,,,,,
AZ,8925,157082.5,57850,0,1450,317165,62423,,,,,,,,
AR,3950,16950.5,22600,0,0,150411,14331,,,,,,,,
CA,23231.26,1345839.42,434666,30450,64768.16,3182023.83,944295.17,,,,,,,,
CO,7000,223509.65,64539,500,7705,265897,85876.5,,,,,,,,
CT,2700,84638.95,233325,14600,6059,1030124,144622,,,,,,,,
DE,0,14413,5775,0,1050,21050,11300,,,,,,,,
DC,0,25750,45150,4200,7130,756471.8,76071,,,,,,,,
FL,32050,412728.08,269829.25,21300,12275,6228638.19,508176.37,,,,,,,,
GA,3600,153896.91,35128,0,2700,764585,111987,,,,,,,,
HI,0,21742,0,0,4169,6750,5550,,,,,,,,
ID,1050,30840,3071,0,1000,32475,15641,,,,,,,,
IL,5500,142437.5,146373,4200,7650,567990,362475,,,,,,,,
IN,3450,38366,24525,0,50,338858.55,55256,,,,,,,,
IA,6420.16,50664.4,58625,1000,3100,64473,39286,,,,,,,,
KS,250,31993.85,8475,0,0,64154,24553,,,,,,,,
KY,0,22150,5550,0,1250,72277,73810,,,,,,,,
LA,934939.32,70601.82,3700,0,200,393653.5,49691,,,,,,,,
ME,0,63999,8700,0,2200,134910,10531,,,,,,,,
MD,9650,74034.25,234683,4000,10550,463475.28,111475,,,,,,,,
MA,250,111207.48,156120,5650,9250.09,397555,257938,,,,,,,,
MI,11300,101316,21625,500,1800,912449.5,297667,,,,,,,,
MN,0,49367,41128,5000,750,207042,53050,,,,,,,,
MS,13500,23963,3700,0,0,196001.3,76817,,,,,,,,
MO,12060,43782,70761,1250,5850,270828,50893,,,,,,,,
MT,0,16298.2,3400,0,500,33275,14400,,,,,,,,
NE,300,28042,3000,0,0,32171.31,4900,,,,,,,,
NV,250,70301.57,15150,4000,3500,242565,25956,,,,,,,,
NH,1250,62635,35920.16,5450,1000,78130,91678,,,,,,,,
NJ,6250,82834.51,3595934.23,55100,4400,945093,83535,,,,,,,,
NM,500,35548,0,750,1500,24161,22627,,,,,,,,
NY,32176.42,327223.23,835787,286595.82,26050,3489307.31,537290,,,,,,,,
NC,15885,109446.86,19495,0,11050,449936.45,77636,,,,,,,,
ND,0,4651,0,0,0,11231,5686,,,,,,,,
OH,3420.16,83575.09,6200,1250,2600,214255,3952083.65,,,,,,,,
OK,7143,104154.5,2125,250,600,202686,26801,,,,,,,,
OR,270.16,33724,8450,5400,13725,180417,28975,,,,,,,,
PA,7595.16,290530.85,387441,625,4150,430563,347638.85,,,,,,,,
RI,0,5887,7675,250,950,56260,16400,,,,,,,,
SC,2061.26,73116.76,9050,0,2000,308615.08,58452,,,,,,,,
SD,500,10110,500,0,300,7093.21,6625,,,,,,,,
TN,1050,71675.41,41875,1000,3100,707261.6,136782,,,,,,,,
TX,45160,612692.56,263205,6000,27045.16,3389622.59,333612,,,,,,,,
UT,250,89580.1,1600,0,0,137572.33,39341,,,,,,,,
VT,0,4438,1500,250,250,11125,4700,,,,,,,,
VA,19716,265846.38,187300,10570.16,72405,1330186.78,272274,,,,,,,,
WA,6231.26,130998,4325,0,12850,225371,54573,,,,,,,,
WV,0,3958,2500,0,1000,8738,21421,,,,,,,,
WI,32000,71208,10700,0,1050,113010,29341,,,,,,,,
WY,0,18073.05,8301,0,3550,27225,17200,,,,,,,,
,,,,472890.98,230443.41,2750,9700191.54,2750,2750,2750,2750,2750,2750,0,
